"PlatesH2v2.mid.Label-Analysis"
"Volume3d (µm^3) ","Area3d (µm^2) ","BaryCenterX (µm) ","BaryCenterY (µm) ","BaryCenterZ (µm) ","Mean","index"
891.437,518.185,661.769,3247.25,388.866,4414.98,423
328.424,218.633,2951.46,3306.74,382.473,5009.05,424
1313.7,576.913,734.151,3649.02,386.165,2954.48,425
109.475,101.667,870.83,3396.89,389.261,4796.57,426
140.753,121.804,3427.92,3597.66,389.817,5115.11,427
31.2785,35.281,4711.64,3241.3,389.261,6344,428
62.557,64.6454,2586.62,3518.89,391.137,5327,429
62.557,64.6454,1595.07,3583.91,392.387,6187.5,430
7037.66,1975.42,4281,3680.17,407.061,10511.2,431
187.671,149.86,2736.25,3193.16,396.347,4747,432
62.557,65.6723,1428.14,3211.92,399.264,5893.5,433
641.209,378.124,3485.78,3573.63,399.935,7572.49,434
31.2785,35.2916,3251.2,3502.63,400.514,6761,435
250.228,187.215,3888.42,3666.28,403.953,4197.88,436
93.8355,86.8154,3299.54,3631.84,403.015,5967.33,437
15.6393,18.7876,3133.66,3245.06,404.266,7446,438
140.753,115.908,501.75,3358.42,405.655,4593.56,439
344.064,226.854,2943.26,3568.79,407.448,3832.14,440
1094.75,622.186,3522.28,3610.67,409.624,8788.56,441
62.557,63.3781,1383.13,3346.34,408.017,4683,442
31.2785,35.2916,2613.5,3345.09,408.017,5014,443
375.342,241.095,2210.67,3450.95,409.684,4746.54,444
46.9178,50.4662,574.549,3466.79,414.269,6529,445
93.8355,86.8154,3282.04,3316.74,418.02,3716,446
15.6393,18.7876,4504.08,3317.58,416.769,7166,447
